"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"factor(entity)Zambia",-3.68627796779201,7.74715285438753,-0.475823575070463,0.63474670581037,-18.9677553033434,11.5951993677593,"M3_country_year_FE"
"factor(entity)Zimbabwe",-8.47081498377603,7.83252895952451,-1.08149169030206,0.280849193768275,-23.9206990927796,6.97906912522752,"M3_country_year_FE"
"factor(year)2014",-0.430781244347465,0.572811415999377,-0.752047239833526,0.452953272779196,-1.56066790537832,0.699105416683386,"M3_country_year_FE"
"factor(year)2015",0.377167138655833,0.589252784807568,0.640076972701968,0.522893661094352,-0.785150585699853,1.53948486301152,"M3_country_year_FE"
"factor(year)2016",0.648505071576065,0.608548687216102,1.06565848419253,0.287930364047641,-0.551874364077601,1.84888450722973,"M3_country_year_FE"
"factor(year)2017",0.947988294097716,0.7190822590246,1.31833080596873,0.188979970827671,-0.470421727005478,2.36639831520091,"M3_country_year_FE"
"factor(year)2018",0.86726927002139,0.773042733522804,1.12189046272926,0.263324828944879,-0.657579307743674,2.39211784778645,"M3_country_year_FE"
"(Intercept)",19.5246935352738,1.72026342780568,11.34982771806,0.0000000000000000000000000575010237731201,16.1424616348639,22.9069254356837,"M4_country_year_pair_FE"
"strategic_family",2.9067605743569,0.174441636177686,16.6632269568721,0.000000000000000000000000000000000000000000000022103818878061,2.56378864511438,3.24973250359942,"M4_country_year_pair_FE"
"factor(entity_year)Angola__2014",-4.66719213041284,2.42969084039008,-1.92089958641139,0.0554787565522963,-9.44423832907754,0.109854068251859,"M4_country_year_pair_FE"
