"entity","year","strategic_present","social_present","strategic_aid_usd2021","social_aid_usd2021","coverage","strategic_share_of_two_family_aid","strategic_to_social_ratio","log_ratio_strategic_to_social"
"Peru",2020,TRUE,TRUE,918040015.962439,9614895.5438702,"Both families funded",0.989635266924575,95.4810181528928,4.55892746493381
"Peru",2021,TRUE,TRUE,333333333,38720333.5936083,"Both families funded",0.895928095674697,8.6087412494562,2.15277811140536
"Philippines",2016,TRUE,TRUE,2225816498.2557,11370548.2362243,"Both families funded",0.99491747985308,195.75278623459,5.27685256840737
"Philippines",2017,TRUE,TRUE,351463137.891397,9217834.94547923,"Both families funded",0.974443245860801,38.1285996082809,3.64096464642558
"Philippines",2018,TRUE,TRUE,394272181.260539,9362481.3004467,"Both families funded",0.976804565690559,42.1119325751526,3.74033113461762
"Philippines",2019,TRUE,TRUE,285059101.344396,314793368.843802,"Both families funded",0.475215349625819,0.905543539215528,-0.0992199197494339
"Philippines",2020,TRUE,TRUE,6576881.33429121,6989994.9241986,"Both families funded",0.484774918631366,0.940899300444806,-0.0609191584654889
"Philippines",2021,TRUE,TRUE,16237061.0919423,127336380.532779,"Both families funded",0.113092372156011,0.127513135083674,-2.05953589942577
"Russia",2020,TRUE,TRUE,4315052054.66589,395370.127010759,"Both families funded",0.99990838258746,10913.9557085163,9.29779758951147
"Russia",2021,TRUE,TRUE,7541176470.58823,3120,"Both families funded",0.999999586271622,2417043.74057315,14.6980557565732
"Rwanda",2013,TRUE,TRUE,724542.389617739,1868479.74504724,"Both families funded",0.279420055822759,0.387771069789906,-0.947340139807564
"Rwanda",2014,TRUE,TRUE,13285142.7769018,29347712.6419454,"Both families funded",0.311617475451308,0.452680688917266,-0.79256828302184
"Rwanda",2016,TRUE,TRUE,86715844.0351682,49593789.3510556,"Both families funded",0.636168126059476,1.74852224784317,0.558771001399833
"Rwanda",2018,TRUE,TRUE,140942246.091295,18360380.1092715,"Both families funded",0.884745276665086,7.67643399823315,2.03815511618148
